Dataset Name,Algorithm Name,Cross Validation [1-10],Hyper-Parameters Values,mean_squared_error,mean_absolute_error,median_absolute_error,r2_score,explained_variance_score,Training Time,Inference Time
airfoil_self_noise_uci,Cobra,1,"{'epsilon': 0.16861764705155333, 'machine_list': 'basic')",0.015183316,0.098093407,0.08214131,0.455038639,0.500159768,517.9080732,21.13996547
airfoil_self_noise_uci,Ewa,1,"{'beta': 0.001, 'machine_list': 'basic')",0.014022238,0.088664696,0.070062704,0.496712195,0.505504352,9.625063336,0.021469357
airfoil_self_noise_uci,AdaBoost,2,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.008361516,0.075264608,0.069450288,0.73755789,0.738685273,3.965463397,0.008964252
airfoil_self_noise_uci,Boruta,2,"{'ccp_alpha': 0.001981014890848788, 'n_estimators': 18}",0.016643328,0.107211865,0.098502489,0.477617446,0.492905429,57.18358613,0.002227676
airfoil_self_noise_uci,Cobra,2,"{'epsilon': 0.11338474681933523, 'machine_list': 'basic')",0.014075483,0.096974516,0.084354786,0.558214158,0.620305743,513.8294211,20.86867184
airfoil_self_noise_uci,Ewa,2,"{'beta': 0.001, 'machine_list': 'basic')",0.009795838,0.07405651,0.056726548,0.69253896,0.692945151,9.582913063,0.021523903
airfoil_self_noise_uci,AdaBoost,3,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.009455691,0.078676356,0.071623291,0.754016786,0.754153154,4.446173488,0.011089963
airfoil_self_noise_uci,Boruta,3,"{'ccp_alpha': 0.001862602113776709, 'n_estimators': 11}",0.021972555,0.121613019,0.107940692,0.42839932,0.428958519,57.15152751,0.001520962
airfoil_self_noise_uci,Cobra,3,"{'epsilon': 0.16972512142404242, 'machine_list': 'basic')",0.018608048,0.108802068,0.100749329,0.515924614,0.55521128,515.1626741,20.8874062
airfoil_self_noise_uci,Ewa,3,"{'beta': 0.001, 'machine_list': 'basic')",0.016664884,0.091782558,0.065739641,0.566474667,0.573818105,9.603979134,0.021607767
airfoil_self_noise_uci,AdaBoost,4,"{'base_estimator__ccp_alpha': 0.0027387593197926163, 'n_estimators': 55}",0.007421005,0.0709879,0.060854843,0.726221587,0.732777937,3.89197809,0.00880947
